school_number,date,url
5090,2015-11-19,https://www.ero.govt.nz/review-reports/parnell-kindergarten-19-11-2015/
5091,2017-03-15,https://www.ero.govt.nz/review-reports/ponsonby-kindergarten-15-03-2017/
5091,2013-10-31,https://www.ero.govt.nz/review-reports/ponsonby-kindergarten-31-10-2013/
5093,2013-08-14,https://www.ero.govt.nz/review-reports/pt-england-kindergarten-14-08-2013/
5093,2016-12-14,https://www.ero.govt.nz/review-reports/pt-england-kindergarten-14-12-2016/
5094,2018-02-08,https://www.ero.govt.nz/review-reports/ranui-kindergarten-08-02-2018/
5094,2014-11-28,https://www.ero.govt.nz/review-reports/ranui-kindergarten-28-11-2014/
5095,2015-03-04,https://www.ero.govt.nz/review-reports/lincoln-north-kindergarten-04-03-2015/
5095,2018-03-19,https://www.ero.govt.nz/review-reports/lincoln-north-kindergarten-19-03-2018/
5096,2017-03-15,https://www.ero.govt.nz/review-reports/glen-eden-west-kindergarten-15-03-2017/
5096,2013-08-29,https://www.ero.govt.nz/review-reports/glen-eden-west-kindergarten-29-08-2013/
5097,2015-03-20,https://www.ero.govt.nz/review-reports/roskill-south-kindergarten-20-03-2015/
5097,2019-10-23,https://www.ero.govt.nz/review-reports/roskill-south-kindergarten-23-10-2019/
5098,2017-06-02,https://www.ero.govt.nz/review-reports/mt-albert-kindergarten-02-06-2017/
5098,2014-02-28,https://www.ero.govt.nz/review-reports/mt-albert-kindergarten-28-02-2014/
5099,2020-05-27,https://www.ero.govt.nz/review-reports/st-heliers-kindergarten-27-05-2020/
5099,2015-08-28,https://www.ero.govt.nz/review-reports/st-heliers-kindergarten-28-08-2015/
5100,2018-02-08,https://www.ero.govt.nz/review-reports/grey-lynn-kindergarten-08-02-2018/
5100,2013-11-20,https://www.ero.govt.nz/review-reports/grey-lynn-kindergarten-20-11-2013/
5101,2019-02-15,https://www.ero.govt.nz/review-reports/st-johns-kindergarten-15-02-2019/
5101,2015-08-28,https://www.ero.govt.nz/review-reports/st-johns-kindergarten-28-08-2015/
5103,2020-02-13,https://www.ero.govt.nz/review-reports/sandringham-kindergarten-13-02-2020/
5103,2015-05-29,https://www.ero.govt.nz/review-reports/sandringham-kindergarten-29-05-2015/
5104,2015-03-11,https://www.ero.govt.nz/review-reports/sturges-road-kindergarten-11-03-2015/
5104,2018-06-19,https://www.ero.govt.nz/review-reports/sturges-road-kindergarten-19-06-2018/
5105,2013-08-14,https://www.ero.govt.nz/review-reports/whenuapai-kindergarten-14-08-2013/
5105,2016-12-14,https://www.ero.govt.nz/review-reports/whenuapai-kindergarten-14-12-2016/
5106,2016-12-14,https://www.ero.govt.nz/review-reports/sunnyvale-kindergarten-14-12-2016/
5106,2013-11-20,https://www.ero.govt.nz/review-reports/sunnyvale-kindergarten-20-11-2013/
5107,2013-04-05,https://www.ero.govt.nz/review-reports/takapuna-kindergarten-05-04-2013/
5107,2016-05-27,https://www.ero.govt.nz/review-reports/takapuna-kindergarten-27-05-2016/
5108,2011-11-09,https://www.ero.govt.nz/review-reports/te-atatu-peninsula-kindergarten-09-11-2011/
5108,2015-03-11,https://www.ero.govt.nz/review-reports/te-atatu-peninsula-kindergarten-11-03-2015/
5109,2018-02-08,https://www.ero.govt.nz/review-reports/te-atatu-south-kindergarten-08-02-2018/
5109,2014-02-28,https://www.ero.govt.nz/review-reports/te-atatu-south-kindergarten-28-02-2014/
5110,2014-05-02,https://www.ero.govt.nz/review-reports/titirangi-kindergarten-02-05-2014/
5110,2017-04-21,https://www.ero.govt.nz/review-reports/titirangi-kindergarten-21-04-2017/
5111,2016-12-14,https://www.ero.govt.nz/review-reports/westlake-forrest-hill-kindergarten-14-12-2016/
5111,2013-10-31,https://www.ero.govt.nz/review-reports/westlake-forrest-hill-kindergarten-31-10-2013/
5112,2020-02-13,https://www.ero.govt.nz/review-reports/westmere-kindergarten-13-02-2020/
5112,2016-05-27,https://www.ero.govt.nz/review-reports/westmere-kindergarten-27-05-2016/
5113,2020-02-13,https://www.ero.govt.nz/review-reports/farm-cove-kindergarten-13-02-2020/
5113,2016-05-27,https://www.ero.govt.nz/review-reports/farm-cove-kindergarten-27-05-2016/
5114,2020-02-13,https://www.ero.govt.nz/review-reports/yendarra-kindergarten-13-02-2020/
5114,2015-05-29,https://www.ero.govt.nz/review-reports/yendarra-kindergarten-29-05-2015/
5115,2016-07-13,https://www.ero.govt.nz/review-reports/alfriston-road-kindergarten-13-07-2016/
5115,2013-02-25,https://www.ero.govt.nz/review-reports/alfriston-road-kindergarten-25-02-2013/
5116,2014-09-15,https://www.ero.govt.nz/review-reports/clayton-park-kindergarten-15-09-2014/
5116,2016-01-18,https://www.ero.govt.nz/review-reports/clayton-park-kindergarten-18-01-2016/
5117,2014-09-17,https://www.ero.govt.nz/review-reports/kawakawa-bay-kindergarten-17-09-2014/
5117,2018-12-21,https://www.ero.govt.nz/review-reports/kawakawa-bay-kindergarten-21-12-2018/
5118,2013-02-18,https://www.ero.govt.nz/review-reports/finlayson-park-kindergarten-18-02-2013/
5118,2016-09-26,https://www.ero.govt.nz/review-reports/finlayson-park-kindergarten-26-09-2016/
5120,2013-05-21,https://www.ero.govt.nz/review-reports/george-street-kindergarten-21-05-2013/
5120,2016-12-22,https://www.ero.govt.nz/review-reports/george-street-kindergarten-22-12-2016/
5121,2014-09-08,https://www.ero.govt.nz/review-reports/hill-park-kindergarten-08-09-2014/
5121,2019-01-17,https://www.ero.govt.nz/review-reports/hill-park-kindergarten-17-01-2019/
5122,2016-07-13,https://www.ero.govt.nz/review-reports/homai-kindergarten-13-07-2016/
5122,2013-05-20,https://www.ero.govt.nz/review-reports/homai-kindergarten-20-05-2013/
5124,2015-02-05,https://www.ero.govt.nz/review-reports/mason-avenue-kindergarten-05-02-2015/
5124,2018-02-08,https://www.ero.govt.nz/review-reports/mason-avenue-kindergarten-08-02-2018/
5125,2013-09-27,https://www.ero.govt.nz/review-reports/nina-busing-kindergarten-27-09-2013/
5125,2017-03-29,https://www.ero.govt.nz/review-reports/nina-busing-kindergarten-29-03-2017/
5126,2015-05-04,https://www.ero.govt.nz/review-reports/papakura-west-kindergarten-04-05-2015/
5126,2018-12-21,https://www.ero.govt.nz/review-reports/papakura-west-kindergarten-21-12-2018/
5127,2015-05-05,https://www.ero.govt.nz/review-reports/papakura-north-kindergarten-05-05-2015/
